EmployeeID,TotalMonthsOfExp,TotalOrgsWorked,MonthsInOrg,LastPayIncrementBand,AverageFeedback,LastPromotionYears,Attrition
867,61,1,19,3,1,4,1
868,65,1,41,3,1,3,0
869,6,4,4,4,3,1,0
870,81,1,10,5,4,4,1
871,46,5,14,1,4,4,1
872,68,4,16,1,1,2,0
873,105,5,79,4,2,3,0
874,51,5,40,1,4,3,0
875,92,4,1,2,1,1,0
876,7,4,4,3,2,4,1
877,35,1,17,4,2,3,0
878,41,2,26,4,1,4,1
879,29,3,26,1,1,2,0
880,107,4,53,5,3,2,0
881,85,4,48,3,3,2,0
882,18,5,10,2,2,1,0
883,64,5,33,3,1,4,1
884,94,3,92,1,4,1,0
885,116,5,59,5,3,3,0
886,66,2,3,4,1,3,0
887,10,5,5,2,3,2,0
888,93,5,52,5,2,2,0
889,38,1,25,3,2,1,0
890,25,3,3,1,3,1,0
891,11,2,3,5,4,2,0
892,80,5,43,3,4,2,0
893,99,2,28,2,3,2,0
894,59,5,13,5,4,3,0
895,98,4,51,3,4,4,1
896,32,4,3,1,1,4,1
897,45,4,10,2,4,1,0
898,50,2,13,5,1,4,1
899,119,5,87,2,2,4,1
900,38,5,15,2,4,2,0
901,21,3,18,2,1,3,0
902,44,5,22,4,3,3,0
903,58,2,7,1,4,3,0
904,51,2,24,5,4,1,0
905,84,4,16,3,3,2,0
906,80,2,62,1,3,3,0
907,64,5,28,2,2,2,0
908,101,4,79,3,1,2,0
909,79,3,17,5,1,1,0
910,44,3,12,5,3,3,0
911,106,5,23,1,4,1,0
912,105,4,70,3,1,3,0
913,54,3,43,5,4,4,1
914,34,4,30,5,4,2,0
915,70,5,29,2,4,1,0
916,67,3,39,4,1,2,0
917,114,1,83,4,3,1,0
918,17,5,13,5,1,1,0
919,37,1,35,5,1,2,0
920,120,2,66,3,1,4,1
921,101,5,94,5,1,1,0
922,7,4,4,2,3,3,0
923,6,4,2,1,4,2,0
924,111,3,52,5,1,3,0
925,28,3,26,2,3,3,0
926,17,3,2,1,2,1,0
927,71,5,35,1,3,3,0
928,49,4,27,1,4,2,0
929,110,4,71,4,1,1,0
930,26,1,16,2,2,3,0
931,39,2,6,1,1,2,0
932,93,4,14,4,4,2,0
933,89,5,55,4,1,3,0
934,11,1,0,2,3,1,0
935,3,4,3,3,4,2,0
936,15,2,11,1,2,3,0
937,36,3,29,3,4,1,0
938,21,1,13,1,3,3,0
939,55,5,17,5,2,1,0
940,30,2,26,4,3,1,0
941,58,5,20,1,3,3,0
942,101,5,21,3,1,4,1
943,81,4,28,4,1,4,1
944,53,3,18,2,2,4,1
945,105,3,18,4,2,2,0
946,62,2,8,5,2,4,1
947,80,2,25,2,1,2,0
948,57,4,32,1,3,3,0
949,73,3,14,4,3,4,1
950,23,5,12,4,4,2,0
951,39,4,7,2,4,1,0
952,111,3,78,1,4,2,0
953,42,1,1,3,2,3,0
954,3,3,1,5,4,4,1
955,26,3,25,1,3,2,0
956,79,4,60,3,3,1,0
957,6,2,3,5,3,4,1
958,27,4,8,3,2,3,0
959,80,1,68,2,2,2,0
960,3,5,3,1,4,2,0
961,62,4,50,2,1,4,1
962,118,1,57,5,1,2,0
963,111,4,106,2,2,2,0
964,33,1,29,4,4,3,0
965,42,5,22,3,2,4,1
966,19,4,5,1,3,3,0
967,46,1,17,5,1,2,0
968,117,3,29,5,4,3,0
969,110,3,37,4,3,3,0
970,3,2,2,1,4,2,0
971,8,4,4,2,2,4,1
972,114,3,35,1,2,2,0
973,65,2,44,1,3,1,0
974,115,3,38,1,1,2,0
975,31,4,11,1,1,2,0
976,42,2,16,2,2,4,1
977,1,4,1,1,1,2,0
978,85,5,77,3,2,1,0
979,106,4,100,2,3,4,1
980,46,3,6,1,3,2,0
981,114,3,16,1,2,1,0
982,80,2,75,4,3,3,0
983,30,1,3,2,4,2,0
984,67,5,65,4,4,1,0
985,85,5,43,4,3,3,0
986,54,4,3,3,1,1,0
987,13,4,10,1,3,1,0
988,118,5,82,3,3,4,1
989,21,4,19,4,2,2,0
990,114,1,93,2,3,4,1
991,30,1,4,5,1,2,0
992,77,3,30,5,2,2,0
993,110,1,10,1,2,3,0
994,53,4,11,3,4,3,0
995,7,5,4,1,3,1,0
996,44,1,9,3,1,2,0
997,6,2,5,2,1,1,0
998,29,3,1,3,4,2,0
999,92,2,7,1,2,4,1
1000,107,3,76,3,1,4,1
